iter	Passed	Remaining
0	63	63223
1	66	33286
2	71	23669
3	74	18650
4	78	15671
5	82	13599
6	85	12160
7	90	11175
8	93	10326
9	96	9600
10	100	9060
11	104	8590
12	107	8198
13	111	7875
14	115	7572
15	118	7306
16	122	7077
17	125	6870
18	129	6682
19	132	6513
20	136	6367
21	140	6244
22	144	6125
23	147	6011
24	151	5901
25	154	5799
26	158	5711
27	162	5631
28	166	5584
29	170	5507
30	174	5439
31	177	5381
32	181	5325
33	186	5291
34	190	5246
35	193	5194
36	197	5142
37	201	5094
38	204	5050
39	208	5003
40	212	4972
41	216	4927
42	219	4883
43	222	4842
44	226	4815
45	230	4790
46	235	4768
47	239	4750
48	243	4720
49	247	4694
50	250	4663
51	254	4637
52	258	4614
53	261	4585
54	265	4561
55	269	4535
56	272	4508
57	276	4484
58	279	4458
59	283	4434
60	286	4413
61	290	4395
62	294	4375
63	298	4361
64	302	4344
65	305	4320
66	309	4309
67	313	4296
68	316	4275
69	321	4264
70	325	4262
71	329	4248
72	333	4235
73	337	4219
74	340	4202
75	345	4200
76	349	4193
77	353	4182
78	357	4165
79	360	4150
80	364	4132
81	367	4117
82	371	4102
83	374	4088
84	379	4081
85	382	4067
86	386	4051
87	389	4038
88	393	4026
89	397	4017
90	400	4003
91	404	3990
92	407	3978
93	411	3968
94	415	3957
95	418	3942
96	422	3934
97	426	3923
98	430	3916
99	434	3906
100	437	3894
101	441	3884
102	444	3874
103	449	3874
104	454	3874
105	459	3871
106	462	3861
107	466	3853
108	470	3842
109	473	3832
110	478	3834
111	482	3823
112	485	3814
113	489	3806
114	493	3795
115	496	3786
116	500	3775
117	503	3766
118	508	3762
119	512	3755
120	515	3743
121	518	3732
122	522	3724
123	525	3715
124	529	3709
125	533	3701
126	536	3689
127	541	3687
128	545	3684
129	549	3676
130	552	3667
131	556	3657
132	559	3648
133	563	3641
134	566	3631
135	570	3621
136	573	3613
137	577	3605
138	580	3596
139	584	3588
140	587	3580
141	591	3572
142	594	3563
143	598	3557
144	601	3548
145	605	3541
146	609	3534
147	612	3528
148	616	3521
149	620	3515
150	624	3510
151	628	3504
152	631	3496
153	635	3489
154	638	3481
155	642	3473
156	645	3467
157	649	3459
158	652	3452
159	656	3445
160	659	3437
161	663	3432
162	666	3424
163	671	3423
164	674	3415
165	678	3410
166	682	3404
167	686	3399
168	690	3393
169	694	3388
170	697	3382
171	700	3373
172	705	3370
173	708	3364
174	712	3360
175	716	3355
176	720	3351
177	724	3344
178	728	3342
179	732	3336
180	736	3332
181	740	3327
182	743	3321
183	747	3315
184	751	3309
185	755	3305
186	758	3298
187	762	3294
188	766	3288
189	770	3284
190	773	3278
191	777	3271
192	781	3266
193	784	3259
194	788	3253
195	791	3246
196	795	3241
197	798	3235
198	802	3230
199	805	3223
200	809	3216
201	812	3210
202	816	3206
203	820	3200
204	823	3195
205	828	3192
206	831	3186
207	835	3179
208	839	3175
209	842	3169
210	847	3168
211	850	3162
212	854	3157
213	857	3151
214	861	3146
215	865	3140
216	868	3134
217	872	3129
218	875	3123
219	879	3118
220	883	3115
221	888	3114
222	892	3108
223	895	3103
224	899	3097
225	903	3095
226	907	3090
227	910	3084
228	914	3079
229	918	3074
230	921	3069
231	925	3062
232	929	3060
233	933	3055
234	936	3049
235	940	3044
236	944	3040
237	948	3035
238	951	3030
239	955	3025
240	959	3020
241	962	3016
242	966	3010
243	970	3006
244	973	3000
245	977	2997
246	981	2991
247	986	2990
248	989	2985
249	993	2979
